scenario,is_honest,attacker,verifier,prompt_idx,n_tokens,n_positions,avg_cos,worst_cos,best_cos,avg_rank,best_rank,worst_rank,pass_99,pass_98,pass_95,pass_90,pass_85,pass_80
honest_3B,True,Qwen/Qwen2.5-3B,Qwen/Qwen2.5-3B,0,20,20,0.9336932,0.58103966,0.99999904,1.0,1,1,0.6,0.65,0.75,0.75,0.8,0.85
wrong_model_0.5B_claims_3B,False,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,0,20,20,0.72633388,0.19379816,0.99729901,1.4,1,3,0.15,0.15,0.3,0.35,0.4,0.4
honest_3B,True,Qwen/Qwen2.5-3B,Qwen/Qwen2.5-3B,1,20,20,0.97198445,0.65829234,1.0,1.0,1,1,0.9,0.9,0.9,0.9,0.9,0.9
wrong_model_0.5B_claims_3B,False,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,1,20,20,0.63085322,0.00733894,0.99967268,2.2,1,7,0.25,0.25,0.25,0.35,0.4,0.55
honest_3B,True,Qwen/Qwen2.5-3B,Qwen/Qwen2.5-3B,2,20,20,0.92808139,0.68990175,1.0,1.0,1,1,0.55,0.55,0.6,0.7,0.75,0.85
wrong_model_0.5B_claims_3B,False,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,2,20,20,0.86453438,0.05979834,1.0,1.25,1,4,0.55,0.55,0.6,0.65,0.7,0.8
honest_3B,True,Qwen/Qwen2.5-3B,Qwen/Qwen2.5-3B,3,20,20,0.87738765,0.59615609,0.99999479,1.0,1,1,0.2,0.35,0.4,0.45,0.7,0.75
wrong_model_0.5B_claims_3B,False,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,3,20,20,0.78260033,0.12779469,1.0,1.55,1,5,0.35,0.4,0.4,0.5,0.65,0.65
honest_3B,True,Qwen/Qwen2.5-3B,Qwen/Qwen2.5-3B,4,20,20,0.79453234,0.46780582,0.99999994,1.0,1,1,0.15,0.2,0.35,0.4,0.45,0.55
wrong_model_0.5B_claims_3B,False,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,4,20,20,0.62794276,0.0012914,0.99999326,10.0,1,140,0.15,0.2,0.25,0.25,0.35,0.4
honest_3B,True,Qwen/Qwen2.5-3B,Qwen/Qwen2.5-3B,5,20,20,0.98947608,0.83790712,0.99999994,1.0,1,1,0.85,0.95,0.95,0.95,0.95,1.0
wrong_model_0.5B_claims_3B,False,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,5,20,20,0.98947608,0.83790712,0.99999994,1.0,1,1,0.85,0.95,0.95,0.95,0.95,1.0
honest_3B,True,Qwen/Qwen2.5-3B,Qwen/Qwen2.5-3B,6,20,20,0.91825791,0.47722455,1.0,1.0,1,1,0.55,0.6,0.65,0.65,0.85,0.85
wrong_model_0.5B_claims_3B,False,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,6,9,9,0.67803421,0.12364581,0.99781761,2.1111,1,7,0.4444,0.4444,0.4444,0.4444,0.4444,0.5556
honest_3B,True,Qwen/Qwen2.5-3B,Qwen/Qwen2.5-3B,7,20,20,0.92175739,0.54801183,1.0,1.0,1,1,0.65,0.65,0.7,0.75,0.8,0.85
wrong_model_0.5B_claims_3B,False,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,7,20,20,0.83695101,0.08014708,1.0,1.35,1,3,0.7,0.7,0.7,0.7,0.75,0.75
