model_id,tier,skip_count,strategy,token_match_rate,coherence,savings_pct,mean_cosine_similarity,perplexity
Qwen/Qwen2.5-7B,complex,1,best_case(fallback_random),0.8333,coherent,1.18,0.9316,1.18
Qwen/Qwen2.5-7B,complex,1,positional_first,0.0333,garbage,1.18,0.0325,5.72
Qwen/Qwen2.5-7B,complex,1,positional_last,0.0333,garbage,1.18,0.4661,2.71
Qwen/Qwen2.5-7B,complex,1,positional_middle,1.0,coherent,1.18,0.9829,1.17
Qwen/Qwen2.5-7B,complex,1,random,1.0,coherent,1.18,0.9838,1.15
Qwen/Qwen2.5-7B,complex,2,best_case(fallback_random),0.8333,coherent,2.36,0.9165,1.18
Qwen/Qwen2.5-7B,complex,2,positional_first,0.0333,garbage,2.36,0.2911,328.33
Qwen/Qwen2.5-7B,complex,2,positional_last,0.0333,garbage,2.36,0.1128,6.48
Qwen/Qwen2.5-7B,complex,2,positional_middle,0.8333,coherent,2.36,0.8353,1.24
Qwen/Qwen2.5-7B,complex,2,random,1.0,coherent,2.36,0.9738,1.17
Qwen/Qwen2.5-7B,complex,3,best_case(fallback_random),0.0333,garbage,3.54,0.2393,7.67
Qwen/Qwen2.5-7B,complex,3,positional_first,0.0,garbage,3.54,-0.048,1264.75
Qwen/Qwen2.5-7B,complex,3,positional_last,0.0667,garbage,3.54,0.3222,31.49
Qwen/Qwen2.5-7B,complex,3,positional_middle,0.3333,degraded,3.54,0.7399,1.28
Qwen/Qwen2.5-7B,complex,3,random,0.0667,garbage,3.54,0.1152,4.59
Qwen/Qwen2.5-7B,complex,5,best_case(fallback_random),0.0333,garbage,5.89,0.1693,7.5
Qwen/Qwen2.5-7B,complex,5,positional_first,0.0,garbage,5.89,-0.0877,2.56
Qwen/Qwen2.5-7B,complex,5,positional_last,0.0667,garbage,5.89,0.2685,17.28
Qwen/Qwen2.5-7B,complex,5,positional_middle,0.1667,garbage,5.89,0.6533,1.65
Qwen/Qwen2.5-7B,complex,5,random,0.0667,garbage,5.89,0.4214,15.05
