n_splits,approach,avg_max_abs_diff,worst_max_abs_diff,avg_cos_sim,worst_cos_sim,avg_rel_error,test_type,token_match_rate
2,zero_multiply,3.675052097865513e-05,0.0009765625,0.999999960405486,0.9999986290931702,6.991939129418696e-08,uniform,0.8
3,zero_multiply,0.00036448282854897635,0.01025390625,0.9999999646629606,0.9999987483024597,5.229332756353583e-07,uniform,0.8
5,zero_multiply,0.00029570460319519045,0.0078125,0.9999999633857182,0.9999987483024597,4.2656314908251537e-07,uniform,0.8
10,zero_multiply,0.00029242677348000664,0.00732421875,0.9999999638114657,0.9999988079071045,4.4876610381421065e-07,uniform,0.8
50,zero_multiply,0.0003267019987106323,0.0107421875,0.9999999638114657,0.9999988675117493,4.7294713276736265e-07,uniform,0.8
100,zero_multiply,0.00028409361839294435,0.005859375,0.9999999612569809,0.9999988079071045,4.856651182731918e-07,uniform,0.8
1000,zero_multiply,0.0005337297916412354,0.013671875,0.9999999633857182,0.9999987483024597,7.21570566692844e-07,uniform,0.8
2,column_slice,3.675052097865513e-05,0.0009765625,0.999999960405486,0.9999986290931702,6.991939129418696e-08,uniform,
3,column_slice,0.00036448282854897635,0.01025390625,0.9999999646629606,0.9999987483024597,5.229332756353583e-07,uniform,
5,column_slice,0.00029570460319519045,0.0078125,0.9999999633857182,0.9999987483024597,4.2656314908251537e-07,uniform,
10,column_slice,0.00029242677348000664,0.00732421875,0.9999999638114657,0.9999988079071045,4.4876610381421065e-07,uniform,
50,column_slice,0.0003267019987106323,0.0107421875,0.9999999638114657,0.9999988675117493,4.7294713276736265e-07,uniform,
100,column_slice,0.00028409361839294435,0.005859375,0.9999999612569809,0.9999988079071045,4.856651182731918e-07,uniform,
1000,column_slice,0.0005337297916412354,0.013671875,0.9999999633857182,0.9999987483024597,7.21570566692844e-07,uniform,
2,zm_vs_cs,0.0,0.0,0.999999954870769,0.9999985694885254,0.0,uniform,
3,zm_vs_cs,0.0,0.0,0.9999999599797386,0.9999985694885254,0.0,uniform,
5,zm_vs_cs,0.0,0.0,0.9999999608312334,0.9999987483024597,0.0,uniform,
10,zm_vs_cs,0.0,0.0,0.9999999642372132,0.9999988079071045,0.0,uniform,
50,zm_vs_cs,0.0,0.0,0.9999999612569809,0.999998927116394,0.0,uniform,
100,zm_vs_cs,0.0,0.0,0.9999999621084759,0.9999988675117493,0.0,uniform,
1000,zm_vs_cs,0.0,0.0,0.9999999638114657,0.9999988079071045,0.0,uniform,
2,zero_multiply,5.4532076631273544e-05,0.0009765625,0.999999970623425,0.9999986886978149,1.230474002118144e-07,masked,
3,zero_multiply,0.00037677628653390066,0.01171875,0.9999999680689403,0.9999986886978149,5.149819269208159e-07,masked,
10,zero_multiply,0.0003167512161391122,0.00830078125,0.9999999676431929,0.9999986886978149,4.38812993620175e-07,masked,
2,column_slice,5.4532076631273544e-05,0.0009765625,0.999999970623425,0.9999986886978149,1.230474002118144e-07,masked,
3,column_slice,0.00037677628653390066,0.01171875,0.9999999680689403,0.9999986886978149,5.149819269208159e-07,masked,
10,column_slice,0.0003167512161391122,0.00830078125,0.9999999676431929,0.9999986886978149,4.38812993620175e-07,masked,
2,zm_vs_cs,0.0,0.0,0.9999999680689403,0.9999986290931702,0.0,masked,
3,zm_vs_cs,0.0,0.0,0.9999999667916979,0.9999987483024597,0.0,masked,
10,zm_vs_cs,0.0,0.0,0.9999999663659505,0.9999986886978149,0.0,masked,
