model,threshold,avg_compress,avg_cosine,min_cosine,avg_rank,max_rank,pass_rate,total_positions,total_pass
Qwen/Qwen2.5-0.5B,0.1,1.33,0.99915042,0.99258345,1.03,4,97.88,189,185
Qwen/Qwen2.5-0.5B,0.05,0.04,0.99998038,0.99993199,1.0,1,100.0,189,189
Qwen/Qwen2.5-0.5B,0.01,0.0,0.99998981,0.99996978,1.0,1,100.0,189,189
Qwen/Qwen2.5-0.5B,0.005,0.0,0.9999899,0.99996978,1.0,1,100.0,189,189
Qwen/Qwen2.5-0.5B,0.001,0.0,0.9999899,0.99996978,1.0,1,100.0,189,189
Qwen/Qwen2.5-0.5B,0.0001,0.0,0.9999899,0.99996978,1.0,1,100.0,189,189
Qwen/Qwen2.5-0.5B,1e-05,0.0,0.9999899,0.99996978,1.0,1,100.0,189,189
Qwen/Qwen2.5-3B,0.1,15.11,0.99372938,0.94474757,1.095,4,92.0,200,184
Qwen/Qwen2.5-3B,0.05,11.31,0.99500414,0.95067877,1.075,4,94.5,200,189
Qwen/Qwen2.5-3B,0.01,9.69,0.99622411,0.9586342,1.06,4,96.0,200,192
Qwen/Qwen2.5-3B,0.005,9.23,0.99725579,0.97045648,1.055,3,96.0,200,192
Qwen/Qwen2.5-3B,0.001,4.29,0.99998304,0.99991512,1.005,2,99.5,200,199
Qwen/Qwen2.5-3B,0.0001,0.06,0.99999006,0.99996853,1.005,2,99.5,200,199
Qwen/Qwen2.5-3B,1e-05,0.0,0.99998951,0.99996555,1.005,2,99.5,200,199
Qwen/Qwen2.5-7B,0.1,13.04,0.99802582,0.92849398,1.015,2,98.5,200,197
Qwen/Qwen2.5-7B,0.05,7.52,0.99956738,0.98686588,1.005,2,99.5,200,199
Qwen/Qwen2.5-7B,0.01,3.13,0.9999516,0.99860692,1.005,2,99.5,200,199
Qwen/Qwen2.5-7B,0.005,2.93,0.99995957,0.99853814,1.005,2,99.5,200,199
Qwen/Qwen2.5-7B,0.001,1.43,0.99998363,0.99970222,1.0,1,100.0,200,200
Qwen/Qwen2.5-7B,0.0001,0.03,0.99998954,0.99996507,1.0,1,100.0,200,200
Qwen/Qwen2.5-7B,1e-05,0.0,0.99999003,0.99996543,1.0,1,100.0,200,200
